,site,orig_id,id,func_run,anat_infile,func_infile,anat_outdir,func_outdir,mean_FD,max_FD,mean_relative_motion,max_relative_motion,num_movements,mean_cor,mean_zcor
191,Rockland,4097119,Rockland_4097119,1,/home/data/Originals/Rockland/raw/4097119/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/4097119/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/4097119_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/4097119_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.212662530859,0.785664,0.105972739265,0.391551133315,0,0.354021769964,-2.97674927555
192,Rockland,4143704,Rockland_4143704,1,/home/data/Originals/Rockland/raw/4143704/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/4143704/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/4143704_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/4143704_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.20718535,1.29433,0.299340829432,0.833766933861,0,0.440700661648,-2.28023287871
195,Rockland,5461463,Rockland_5461463,1,/home/data/Originals/Rockland/raw/5461463/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/5461463/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/5461463_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/5461463_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.141291475,2.73652,0.23528281315,0.546068365683,0,0.460587362286,-2.11157691628
198,Rockland,6913939,Rockland_6913939,1,/home/data/Originals/Rockland/raw/6913939/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/6913939/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/6913939_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/6913939_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.172387964844,1.52081,0.334388178147,0.782986551609,0,0.469953835373,-2.03078830853
210,Rockland,4099085,Rockland_4099085,1,/home/data/Originals/Rockland/raw/4099085/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/4099085/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/4099085_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/4099085_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.534028842578,1.46085,0.26220431599,0.82507951132,0,0.468210944815,-2.04588961551
218,Rockland,3304648,Rockland_3304648,1,/home/data/Originals/Rockland/raw/3304648/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/3304648/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/3304648_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/3304648_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.222499942969,1.94165,0.24670659727,0.562677172098,0,0.430012220115,-2.36935951607
224,Rockland,8317157,Rockland_8317157,1,/home/data/Originals/Rockland/raw/8317157/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/8317157/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/8317157_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/8317157_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.0712541179687,1.49813,0.156220732519,0.357706136375,0,0.464247074288,-2.08011762329
225,Rockland,9645370,Rockland_9645370,1,/home/data/Originals/Rockland/raw/9645370/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/9645370/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/9645370_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/9645370_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.0813255589844,0.942834,0.167670976759,0.411004829655,0,0.343306926249,-3.05918241956
227,Rockland,1522653,Rockland_1522653,1,/home/data/Originals/Rockland/raw/1522653/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/1522653/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1522653_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1522653_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.17173270625,0.74326,0.112912556265,0.385683912032,0,0.455672238199,-2.1536169173
241,Rockland,1013090,Rockland_1013090,1,/home/data/Originals/Rockland/raw/1013090/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/1013090/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1013090_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1013090_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.0801189652344,0.893035,0.178496601369,0.497353576442,0,0.466675678074,-2.05916583118
245,Rockland,2160826,Rockland_2160826,1,/home/data/Originals/Rockland/raw/2160826/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/2160826/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2160826_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2160826_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.220556635937,0.950473,0.111157806551,0.351335879181,0,0.414536030692,-2.496650024
247,Rockland,2675807,Rockland_2675807,1,/home/data/Originals/Rockland/raw/2675807/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/2675807/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2675807_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2675807_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.799846267578,2.05986,0.405694069889,1.09113654966,2,0.467444244298,-2.05252270439
249,Rockland,3827479,Rockland_3827479,1,/home/data/Originals/Rockland/raw/3827479/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/3827479/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/3827479_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/3827479_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.175359152344,0.814283,0.163837180065,0.42751197644,0,0.442877712122,-2.26195245274
255,Rockland,9630905,Rockland_9630905,1,/home/data/Originals/Rockland/raw/9630905/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/9630905/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/9630905_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/9630905_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.138259716797,0.916167,0.167686674609,0.543096032024,0,0.413222349365,-2.50736295044
264,Rockland,3409284,Rockland_3409284,1,/home/data/Originals/Rockland/raw/3409284/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/3409284/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/3409284_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/3409284_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.223608463672,1.9422,0.461840303415,1.95507353314,5,0.413271323513,-2.5069638237
268,Rockland,1764982,Rockland_1764982,1,/home/data/Originals/Rockland/raw/1764982/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/1764982/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1764982_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1764982_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.207395260156,1.45266,0.245187635727,0.598424372833,0,0.430713259907,-2.36354497374
269,Rockland,1915832,Rockland_1915832,1,/home/data/Originals/Rockland/raw/1915832/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/1915832/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1915832_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1915832_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.246804866797,1.87145,0.257961649928,0.835945219497,0,0.399662947936,-2.61713391641
285,Rockland,1339484,Rockland_1339484,1,/home/data/Originals/Rockland/raw/1339484/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/1339484/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1339484_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1339484_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.249674180469,0.764417,0.17705592184,0.464470451159,0,0.411235566003,-2.52353834682
287,Rockland,2132437,Rockland_2132437,1,/home/data/Originals/Rockland/raw/2132437/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/2132437/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2132437_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2132437_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.170518859375,1.60481,0.572700098764,1.0418046122,2,0.251072951161,-3.74362371748
288,Rockland,2132437,Rockland_2132437,2,/home/data/Originals/Rockland/raw/2132437/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/2132437/session_1/BOLDrestingCAP_2/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2132437_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2132437_session_1/scan_BOLDrestingCAP_2_BOLDrestingCAP,0.115501132812,0.938375,0.186754522018,0.56561482477,0,0.180674626536,-4.24288782915
289,Rockland,2166659,Rockland_2166659,1,/home/data/Originals/Rockland/raw/2166659/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/2166659/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2166659_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2166659_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.058784075,0.637726,0.189688618694,0.398285387631,0,0.341094490385,-3.07611712061
298,Rockland,9716792,Rockland_9716792,1,/home/data/Originals/Rockland/raw/9716792/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/9716792/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/9716792_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/9716792_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.399401542578,1.84562,0.417791420106,0.991137417314,0,0.404158759181,-2.58089787919
299,Rockland,1322220,Rockland_1322220,1,/home/data/Originals/Rockland/raw/1322220/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/1322220/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1322220_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1322220_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.110860511328,2.12107,0.339389684717,0.779693433344,0,0.465497826855,-2.06933481619
303,Rockland,1940084,Rockland_1940084,1,/home/data/Originals/Rockland/raw/1940084/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/1940084/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1940084_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/1940084_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.308418376953,1.84799,0.602417572556,1.25821636057,26,0.162801421958,-4.3673493039
305,Rockland,2176073,Rockland_2176073,1,/home/data/Originals/Rockland/raw/2176073/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/2176073/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2176073_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2176073_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.0954128816406,1.2116,0.165626981561,0.464923144186,0,0.412505568527,-2.51320230362
309,Rockland,2842950,Rockland_2842950,1,/home/data/Originals/Rockland/raw/2842950/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/2842950/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2842950_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/2842950_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.306797367578,2.56094,0.360597536298,1.22189743023,5,0.372836816325,-2.8302393072
310,Rockland,3329569,Rockland_3329569,1,/home/data/Originals/Rockland/raw/3329569/session_1/MPRAGE_1/defaced_MPRAGE.nii.gz,/home/data/Originals/Rockland/raw/3329569/session_1/BOLDrestingCAP_1/BOLDrestingCAP.nii.gz,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/3329569_session_1/scan,/home2/data/PreProc/Rockland/sym_links/pipeline_0/linear1.wm1.motion1.csf1_CSF_0.98_GM_0.7_WM_0.98/3329569_session_1/scan_BOLDrestingCAP_1_BOLDrestingCAP,0.208052662109,0.818879,0.180690616175,0.395076258462,0,0.436982595046,-2.31135271744
